Exposure,Outcome,warning
Operative procedures - secondary OPCS: L83.2 Subfascial ligation of perforating vein of leg || id:UKB-b:803,Chang et al. 2017,lowcase
Operative procedures - main OPCS: W81.8 Other specified other open operations on joint || id:UKB-b:804,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: W81.8 Other specified other open operations on joint || id:UKB-b:804,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: W81.8 Other specified other open operations on joint || id:UKB-b:804,Nalls et al. 2014,snp+lowcase
Treatment/medication code: chloramphenicol 0.5% || id:UKB-b:805,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: chloramphenicol 0.5% || id:UKB-b:805,Chang et al. 2017,lowcase
"Diagnoses - main ICD10: C11.9 Nasopharynx,unspecified || id:UKB-b:806",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: C11.9 Nasopharynx, unspecified || id:UKB-b:806",Chang et al. 2017,lowcase
Operative procedures - main OPCS: C34.9 Unspecified partial division of tendon of muscle of eye || id:UKB-b:808,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: C34.9 Unspecified partial division of tendon of muscle of eye || id:UKB-b:808,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: T93.9 Sequelae of unspecified injury of lower limb  || id:UKB-b:809,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: T93.9 Sequelae of unspecified injury of lower limb  || id:UKB-b:809,Chang et al. 2017,lowcase
Operative procedures - main OPCS: S10.2 Cryotherapy to lesion of skin of head or neck || id:UKB-b:810,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: S10.2 Cryotherapy to lesion of skin of head or neck || id:UKB-b:810,Chang et al. 2017,lowcase
Treatment/medication code: neomycin product || id:UKB-b:811,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: neomycin product || id:UKB-b:811,Chang et al. 2017,lowcase
Diagnoses - secondary ICD9: V718 Observation for other specified suspected condition || id:UKB-b:814,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD9: V718 Observation for other specified suspected condition || id:UKB-b:814,Chang et al. 2017,lowcase
Diagnoses - secondary ICD9: V718 Observation for other specified suspected condition || id:UKB-b:814,Nalls et al. 2014,lowcase
PCT where patients GP was registered: BARKING AND DAGENHAM PCT || id:UKB-b:815,Nalls et al. 2019 (clinically diagnosed cases),lowcase
PCT where patients GP was registered: BARKING AND DAGENHAM PCT || id:UKB-b:815,Chang et al. 2017,lowcase
PCT where patients GP was registered: BARKING AND DAGENHAM PCT || id:UKB-b:815,Nalls et al. 2014,lowcase
"Diagnoses - secondary ICD10: R73.9 Hyperglycaemia,unspecified || id:UKB-b:816",Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
"Diagnoses - secondary ICD10: R73.9 Hyperglycaemia, unspecified || id:UKB-b:816",Chang et al. 2017,snp+lowcase
"Diagnoses - secondary ICD10: R73.9 Hyperglycaemia, unspecified || id:UKB-b:816",Nalls et al. 2014,snp+lowcase
Treatment/medication code: leuprorelin || id:UKB-b:817,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: leuprorelin || id:UKB-b:817,Chang et al. 2017,lowcase
Treatment/medication code: leuprorelin || id:UKB-b:817,Nalls et al. 2014,lowcase
Operative procedures - secondary OPCS: Y94.2 Octreotide imaging || id:UKB-b:818,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: Y94.2 Octreotide imaging || id:UKB-b:818,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: Y94.2 Octreotide imaging || id:UKB-b:818,Nalls et al. 2014,lowcase
External causes: V97.2 Parachutist injured in air transport accident || id:UKB-b:819,Nalls et al. 2019 (clinically diagnosed cases),lowcase
External causes: V97.2 Parachutist injured in air transport accident || id:UKB-b:819,Chang et al. 2017,lowcase
External causes: V97.2 Parachutist injured in air transport accident || id:UKB-b:819,Nalls et al. 2014,lowcase
Diagnoses - secondary ICD10: Y59.3 Immunoglobulin || id:UKB-b:82,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: Y59.3 Immunoglobulin || id:UKB-b:82,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: Y59.3 Immunoglobulin || id:UKB-b:82,Nalls et al. 2014,lowcase
Diagnoses - main ICD10: H57.1 Ocular pain || id:UKB-b:820,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: H57.1 Ocular pain || id:UKB-b:820,Chang et al. 2017,lowcase
Diagnoses - main ICD10: H57.1 Ocular pain || id:UKB-b:820,Nalls et al. 2014,lowcase
Operative procedures - secondary OPCS: Z74.2 Sternum NEC || id:UKB-b:821,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - secondary OPCS: Z74.2 Sternum NEC || id:UKB-b:821,Chang et al. 2017,snp+lowcase
Operative procedures - secondary OPCS: Z74.2 Sternum NEC || id:UKB-b:821,Nalls et al. 2014,snp+lowcase
Treatment speciality of consultant (recoded): Acute medicine || id:UKB-b:822,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment speciality of consultant (recoded): Acute medicine || id:UKB-b:822,Chang et al. 2017,lowcase
Treatment speciality of consultant (recoded): Acute medicine || id:UKB-b:822,Nalls et al. 2014,lowcase
Treatment/medication code: ipratropium || id:UKB-b:823,Nalls et al. 2019 (clinically diagnosed cases),snp
Operative procedures - main OPCS: A02.8 Other specified excision of lesion of tissue of brain || id:UKB-b:824,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: A02.8 Other specified excision of lesion of tissue of brain || id:UKB-b:824,Chang et al. 2017,lowcase
Operative procedures - main OPCS: A02.8 Other specified excision of lesion of tissue of brain || id:UKB-b:824,Nalls et al. 2014,lowcase
Diagnoses - secondary ICD10: M07.34 Other psoriatic arthropathies (Hand) || id:UKB-b:825,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: M07.34 Other psoriatic arthropathies (Hand) || id:UKB-b:825,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: M07.34 Other psoriatic arthropathies (Hand) || id:UKB-b:825,Nalls et al. 2014,lowcase
Operative procedures - secondary OPCS: S30.3 Revision of flap of skin to head or neck || id:UKB-b:826,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: S30.3 Revision of flap of skin to head or neck || id:UKB-b:826,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: S30.3 Revision of flap of skin to head or neck || id:UKB-b:826,Nalls et al. 2014,lowcase
Operative procedures - secondary OPCS: J18.3 Total cholecystectomy NEC || id:UKB-b:827,Chang et al. 2017,snp
Operative procedures - secondary OPCS: J18.3 Total cholecystectomy NEC || id:UKB-b:827,Nalls et al. 2014,snp
Diagnoses - secondary ICD9: E9569 Suicide and selfinflicted injury by cutting and piercing instruments || id:UKB-b:829,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD9: E9569 Suicide and selfinflicted injury by cutting and piercing instruments || id:UKB-b:829,Chang et al. 2017,lowcase
Diagnoses - secondary ICD9: E9569 Suicide and selfinflicted injury by cutting and piercing instruments || id:UKB-b:829,Nalls et al. 2014,lowcase
Operative procedures - secondary OPCS: W16.3 Multiple osteotomy NEC || id:UKB-b:830,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: W16.3 Multiple osteotomy NEC || id:UKB-b:830,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: W16.3 Multiple osteotomy NEC || id:UKB-b:830,Nalls et al. 2014,lowcase
Operative procedures - main OPCS: B29.5 Revision of reconstruction of breast || id:UKB-b:831,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: B29.5 Revision of reconstruction of breast || id:UKB-b:831,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: B29.5 Revision of reconstruction of breast || id:UKB-b:831,Nalls et al. 2014,snp+lowcase
"Diagnoses - secondary ICD10: Y55.6 Antiasthmatics,not elsewhere classified || id:UKB-b:834",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: Y55.6 Antiasthmatics, not elsewhere classified || id:UKB-b:834",Chang et al. 2017,lowcase
"Diagnoses - secondary ICD10: Y55.6 Antiasthmatics, not elsewhere classified || id:UKB-b:834",Nalls et al. 2014,lowcase
Diagnoses - secondary ICD10: G62.8 Other specified polyneuropathies || id:UKB-b:835,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: G62.8 Other specified polyneuropathies || id:UKB-b:835,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: G62.8 Other specified polyneuropathies || id:UKB-b:835,Nalls et al. 2014,lowcase
Diagnoses - secondary ICD10: W19.6 Industrial and construction area || id:UKB-b:836,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: W19.6 Industrial and construction area || id:UKB-b:836,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: W19.6 Industrial and construction area || id:UKB-b:836,Nalls et al. 2014,lowcase
Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: Transfer to another provider || id:UKB-b:837,Nalls et al. 2019 (clinically diagnosed cases),snp
Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: Transfer to another provider || id:UKB-b:837,Chang et al. 2017,snp
Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: Transfer to another provider || id:UKB-b:837,Nalls et al. 2014,snp
Operative procedures - secondary OPCS: W52.0 Conversion from previous cemented prosthetic replacement of articulation of bone NEC || id:UKB-b:838,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: W52.0 Conversion from previous cemented prosthetic replacement of articulation of bone NEC || id:UKB-b:838,Chang et al. 2017,snp+lowcase
Operative procedures - secondary OPCS: W52.0 Conversion from previous cemented prosthetic replacement of articulation of bone NEC || id:UKB-b:838,Nalls et al. 2014,snp+lowcase
Operative procedures - main OPCS: F38.1 Excision of lesion of floor of mouth || id:UKB-b:839,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Operative procedures - main OPCS: F38.1 Excision of lesion of floor of mouth || id:UKB-b:839,Chang et al. 2017,snp+lowcase
Operative procedures - main OPCS: F38.1 Excision of lesion of floor of mouth || id:UKB-b:839,Nalls et al. 2014,snp+lowcase
Diagnoses - main ICD10: N99.1 Postprocedural urethral stricture || id:UKB-b:84,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: N99.1 Postprocedural urethral stricture || id:UKB-b:84,Chang et al. 2017,lowcase
Diagnoses - main ICD10: N99.1 Postprocedural urethral stricture || id:UKB-b:84,Nalls et al. 2014,lowcase
Diagnoses - secondary ICD10: T93.5 Sequelae of injury of muscle and tendon of lower limb  || id:UKB-b:840,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: T93.5 Sequelae of injury of muscle and tendon of lower limb  || id:UKB-b:840,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: T93.5 Sequelae of injury of muscle and tendon of lower limb  || id:UKB-b:840,Nalls et al. 2014,lowcase
Operative procedures - main OPCS: W21.8 Other specified primary open reduction of intra-articular fracture of bone || id:UKB-b:841,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: W21.8 Other specified primary open reduction of intra-articular fracture of bone || id:UKB-b:841,Chang et al. 2017,lowcase
Operative procedures - main OPCS: W21.8 Other specified primary open reduction of intra-articular fracture of bone || id:UKB-b:841,Nalls et al. 2014,lowcase
Operative procedures - secondary OPCS: K62.4 Percutaneous transluminal internal cardioversion NEC || id:UKB-b:842,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: K62.4 Percutaneous transluminal internal cardioversion NEC || id:UKB-b:842,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: K62.4 Percutaneous transluminal internal cardioversion NEC || id:UKB-b:842,Nalls et al. 2014,lowcase
"Diagnoses - main ICD10: I40.9 Acute myocarditis,unspecified || id:UKB-b:843",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: I40.9 Acute myocarditis, unspecified || id:UKB-b:843",Chang et al. 2017,lowcase
"Diagnoses - main ICD10: I40.9 Acute myocarditis, unspecified || id:UKB-b:843",Nalls et al. 2014,lowcase
Diagnoses - main ICD10: H74.8 Other specified disorders of middle ear and mastoid || id:UKB-b:844,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: H74.8 Other specified disorders of middle ear and mastoid || id:UKB-b:844,Chang et al. 2017,lowcase
Diagnoses - main ICD10: H74.8 Other specified disorders of middle ear and mastoid || id:UKB-b:844,Nalls et al. 2014,lowcase
"Heel quantitative ultrasound index (QUI), direct entry (left) || id:UKB-b:845",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Heel quantitative ultrasound index (QUI), direct entry (left) || id:UKB-b:845",Chang et al. 2017,lowcase
"Heel quantitative ultrasound index (QUI), direct entry (left) || id:UKB-b:845",Nalls et al. 2014,lowcase
"Diagnoses - secondary ICD10: E21.1 Secondary hyperparathyroidism,not elsewhere classified || id:UKB-b:846",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - secondary ICD10: E21.1 Secondary hyperparathyroidism, not elsewhere classified || id:UKB-b:846",Chang et al. 2017,lowcase
"Diagnoses - secondary ICD10: E21.1 Secondary hyperparathyroidism, not elsewhere classified || id:UKB-b:846",Nalls et al. 2014,lowcase
"Diagnoses - main ICD10: O98.8 Other maternal infectious and parasitic diseases complicating pregnancy,childbirth and the puerperium || id:UKB-b:848",Nalls et al. 2019 (clinically diagnosed cases),lowcase
"Diagnoses - main ICD10: O98.8 Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium || id:UKB-b:848",Chang et al. 2017,lowcase
"Diagnoses - main ICD10: O98.8 Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium || id:UKB-b:848",Nalls et al. 2014,lowcase
Operative procedures - main OPCS: G33.2 Revision of anastomosis of stomach to jejunum NEC || id:UKB-b:849,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: G33.2 Revision of anastomosis of stomach to jejunum NEC || id:UKB-b:849,Chang et al. 2017,lowcase
Operative procedures - main OPCS: G33.2 Revision of anastomosis of stomach to jejunum NEC || id:UKB-b:849,Nalls et al. 2014,lowcase
Diagnoses - secondary ICD10: I83.0 Varicose veins of lower extremities with ulcer || id:UKB-b:85,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - secondary ICD10: I83.0 Varicose veins of lower extremities with ulcer || id:UKB-b:85,Chang et al. 2017,lowcase
Diagnoses - secondary ICD10: I83.0 Varicose veins of lower extremities with ulcer || id:UKB-b:85,Nalls et al. 2014,lowcase
Treatment/medication code: danazol || id:UKB-b:851,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Treatment/medication code: danazol || id:UKB-b:851,Chang et al. 2017,lowcase
Operative procedures - main OPCS: X37.6 Intramuscular hormone therapy || id:UKB-b:852,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: X37.6 Intramuscular hormone therapy || id:UKB-b:852,Chang et al. 2017,lowcase
Diagnoses - main ICD10: T42.6 Other antiepileptic and sedative-hypnotic drugs || id:UKB-b:853,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Diagnoses - main ICD10: T42.6 Other antiepileptic and sedative-hypnotic drugs || id:UKB-b:853,Chang et al. 2017,snp+lowcase
Treatment/medication code: bendroflumethiazide+potassium 2.5mg/7.7mmol m/r tablet || id:UKB-b:854,Nalls et al. 2019 (clinically diagnosed cases),snp+lowcase
Treatment/medication code: bendroflumethiazide+potassium 2.5mg/7.7mmol m/r tablet || id:UKB-b:854,Chang et al. 2017,snp+lowcase
Diagnoses - main ICD10: M93.2 Osteochondritis dissecans || id:UKB-b:855,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: M93.2 Osteochondritis dissecans || id:UKB-b:855,Chang et al. 2017,lowcase
Operative procedures - secondary OPCS: C16.8 Other specified other plastic repair of eyelid || id:UKB-b:856,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - secondary OPCS: C16.8 Other specified other plastic repair of eyelid || id:UKB-b:856,Chang et al. 2017,lowcase
Operative procedures - main OPCS: C75.8 Other specified prosthesis of lens || id:UKB-b:857,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Operative procedures - main OPCS: C75.8 Other specified prosthesis of lens || id:UKB-b:857,Chang et al. 2017,lowcase
Diagnoses - main ICD10: D48.0 Bone and articular cartilage || id:UKB-b:858,Nalls et al. 2019 (clinically diagnosed cases),lowcase
Diagnoses - main ICD10: D48.0 Bone and articular cartilage || id:UKB-b:858,Chang et al. 2017,lowcase
Diagnoses - main ICD9: 6341 Spontaneous abortion complicated by delayed or excessive haemorrhage || id:UKB-b:859,Nalls et al. 2019 (clinically diagnosed cases),lowcase
